case_id,group,dut,top,flow,variant,canonical_dir,generate_entry,build_entry,run_entry,metrics_target,existing_data
A-xs-python-dpi,A,XS,SimTop,picker,python-dpi,XS,make -C XS python-dpi,make -C XS/dpi_python,python3 XS/dpi_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-xs-python-vpi,A,XS,SimTop,picker,python-vpi,XS,make -C XS python-vpi,make -C XS/vpi_python,python3 XS/vpi_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-xs-python-mem,A,XS,SimTop,picker,python-mem_direct,XS,make -C XS python-mem,make -C XS/mem_python,python3 XS/mem_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-xs-cocotb,A,XS,SimTop,cocotb,verilator,XS/cocotb,N/A,bash XS/cocotb/build_time.sh,bash XS/cocotb/run_time.sh,"build_total_time;artifact_size;simulation_speed;peak_memory","build log and results.xml"
A-rocket-python-dpi,A,rocket,SimTop,picker,python-dpi,rocket/picker,make -C rocket/picker python-dpi,make -C rocket/picker/dpi_python,python3 rocket/picker/dpi_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-rocket-python-vpi,A,rocket,SimTop,picker,python-vpi,rocket/picker,make -C rocket/picker python-vpi,make -C rocket/picker/vpi_python,python3 rocket/picker/vpi_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-rocket-python-mem,A,rocket,SimTop,picker,python-mem_direct,rocket/picker,make -C rocket/picker python-mem,make -C rocket/picker/mem_python,python3 rocket/picker/mem_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-rocket-cocotb,A,rocket,SimTop,cocotb,verilator,rocket/cocotb,N/A,bash rocket/cocotb/build_time.sh,bash rocket/cocotb/run_time.sh,"build_total_time;artifact_size;simulation_speed;peak_memory","build log and results.xml"
A-coupledl2-python-dpi,A,coupledL2,TestTop,picker,python-dpi,coupledL2/picker,make -C coupledL2/picker python-dpi,make -C coupledL2/picker/dpi_python,python3 coupledL2/picker/dpi_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-coupledl2-python-vpi,A,coupledL2,TestTop,picker,python-vpi,coupledL2/picker,make -C coupledL2/picker python-vpi,make -C coupledL2/picker/vpi_python,python3 coupledL2/picker/vpi_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-coupledl2-python-mem,A,coupledL2,TestTop,picker,python-mem_direct,coupledL2/picker,make -C coupledL2/picker python-mem,make -C coupledL2/picker/mem_python,python3 coupledL2/picker/mem_python/example.py,"codegen_total_time;build_total_time;artifact_size;simulation_speed;peak_memory","codegen/build logs"
A-coupledl2-cocotb,A,coupledL2,TestTop,cocotb,verilator,coupledL2/cocotb,N/A,bash coupledL2/cocotb/build_time.sh,bash coupledL2/cocotb/run_time.sh,"build_total_time;artifact_size;simulation_speed;peak_memory","build log and results.xml"
B-xs-raw-verilator,B,XS,SimTop,multilang,raw-verilator,XS/multilang/dpi_cpp/UT_SimTopraw,make -C XS/multilang cpp-dpi,make -C XS/multilang/dpi_cpp/UT_SimTopraw compile,make -C XS/multilang/dpi_cpp/UT_SimTopraw test,"simulation_speed;peak_memory","no normalized runtime log"
B-xs-python,B,XS,SimTop,multilang,python,XS/multilang/dpi_python/UT_SimTop,make -C XS/multilang python-dpi,make -C XS/multilang/dpi_python compile,make -C XS/multilang/dpi_python/UT_SimTop test,"simulation_speed;peak_memory","codegen/build logs"
B-xs-cpp,B,XS,SimTop,multilang,cpp,XS/multilang/dpi_cpp/UT_SimTop,make -C XS/multilang cpp-dpi,make -C XS/multilang/dpi_cpp compile,make -C XS/multilang/dpi_cpp/UT_SimTop test,"simulation_speed;peak_memory","codegen/build logs"
B-xs-java,B,XS,SimTop,multilang,java,XS/multilang/dpi_java/UT_SimTop,make -C XS/multilang java-dpi,make -C XS/multilang/dpi_java compile,make -C XS/multilang/dpi_java/UT_SimTop test,"simulation_speed;peak_memory","codegen/build logs"
B-xs-golang,B,XS,SimTop,multilang,golang,XS/multilang/dpi_golang/UT_SimTop,make -C XS/multilang golang-dpi,make -C XS/multilang/dpi_golang compile,make -C XS/multilang/dpi_golang/UT_SimTop test,"simulation_speed;peak_memory","codegen/build logs"
B-rocket-raw-verilator,B,rocket,SimTop,multilang,raw-verilator,rocket/multilang/dpi_cpp/UT_SimTopraw,make -C rocket/multilang cpp-dpi,make -C rocket/multilang/dpi_cpp/UT_SimTopraw compile,make -C rocket/multilang/dpi_cpp/UT_SimTopraw test,"simulation_speed;peak_memory","no normalized runtime log"
B-rocket-python,B,rocket,SimTop,multilang,python,rocket/multilang/dpi_python/UT_SimTop,make -C rocket/multilang python-dpi,make -C rocket/multilang/dpi_python compile,make -C rocket/multilang/dpi_python/UT_SimTop test,"simulation_speed;peak_memory","codegen/build logs"
B-rocket-cpp,B,rocket,SimTop,multilang,cpp,rocket/multilang/dpi_cpp/UT_SimTop,make -C rocket/multilang cpp-dpi,make -C rocket/multilang/dpi_cpp compile,make -C rocket/multilang/dpi_cpp/UT_SimTop test,"simulation_speed;peak_memory","codegen/build logs"
B-rocket-java,B,rocket,SimTop,multilang,java,rocket/multilang/dpi_java/UT_SimTop,make -C rocket/multilang java-dpi,make -C rocket/multilang/dpi_java compile,make -C rocket/multilang/dpi_java/UT_SimTop test,"simulation_speed;peak_memory","codegen/build logs"
B-rocket-golang,B,rocket,SimTop,multilang,golang,rocket/multilang/dpi_golang/UT_SimTop,make -C rocket/multilang golang-dpi,make -C rocket/multilang/dpi_golang compile,make -C rocket/multilang/dpi_golang/UT_SimTop test,"simulation_speed;peak_memory","codegen/build logs"
B-coupledl2-raw-verilator,B,coupledL2,TestTop,multilang,raw-verilator,coupledL2/multilang/dpi_cpp/UT_TestTopraw,make -C coupledL2/multilang cpp-dpi,make -C coupledL2/multilang/dpi_cpp/UT_TestTopraw compile,make -C coupledL2/multilang/dpi_cpp/UT_TestTopraw test,"simulation_speed;peak_memory","no normalized runtime log"
B-coupledl2-python,B,coupledL2,TestTop,multilang,python,coupledL2/multilang/dpi_python/UT_TestTop,make -C coupledL2/multilang python-dpi,make -C coupledL2/multilang/dpi_python compile,make -C coupledL2/multilang/dpi_python/UT_TestTop test,"simulation_speed;peak_memory","codegen/build logs"
B-coupledl2-cpp,B,coupledL2,TestTop,multilang,cpp,coupledL2/multilang/dpi_cpp/UT_TestTop,make -C coupledL2/multilang cpp-dpi,make -C coupledL2/multilang/dpi_cpp compile,make -C coupledL2/multilang/dpi_cpp/UT_TestTop test,"simulation_speed;peak_memory","codegen/build logs"
B-coupledl2-java,B,coupledL2,TestTop,multilang,java,coupledL2/multilang/dpi_java/UT_TestTop,make -C coupledL2/multilang java-dpi,make -C coupledL2/multilang/dpi_java compile,make -C coupledL2/multilang/dpi_java/UT_TestTop test,"simulation_speed;peak_memory","codegen/build logs"
